<<<<<<< HEAD
<<<<<<< HEAD
"unique_id","date_of_bite","species","breed","age","gender","spay_neuter","borough","zip_code","pit_bull"
8140,2015-12-02,"DOG","Pug",7,"F",TRUE,"Staten Island",NA,FALSE
1,2015-01-27,"DOG","Jack Russ",11,"M",FALSE,"Brooklyn","11217",FALSE
2,2015-01-25,"DOG","Mastiff, Bull",NA,"U",FALSE,"Brooklyn",NA,FALSE
3,2015-01-20,"DOG","PIT BULL/GOLDEN RETRIVE X",NA,"U",FALSE,"Brooklyn","11236",TRUE
4,2014-12-26,"DOG","Doberman Pinscher",NA,"M",FALSE,"Brooklyn","11204",FALSE
5,2015-01-29,"DOG","Pit Bull",NA,"U",FALSE,"Brooklyn",NA,TRUE
6,2015-01-31,"DOG","Chihuahua Crossbreed",3,"M",FALSE,"Brooklyn",NA,FALSE
7,2015-01-31,"DOG","German Shepherd Crossbreed",NA,"F",FALSE,"Brooklyn","11220",FALSE
8,2015-01-23,"DOG","German Shepherd",4,"M",FALSE,"Brooklyn","11229",FALSE
9,2015-02-04,"DOG","Pomeranian",1,"F",FALSE,"Brooklyn","11216",FALSE
10,2015-02-05,"DOG","Dalmatian",10,"M",TRUE,"Brooklyn","11214",FALSE
11,2015-02-01,"DOG","Rottweiler",NA,"U",FALSE,"Brooklyn","11204",FALSE
12,2015-02-04,"DOG","Rottweiler",NA,"U",FALSE,"Brooklyn","11220",FALSE
13,2015-02-06,"DOG","Shiba Inu",3,"M",FALSE,"Brooklyn","11252",FALSE
14,2015-02-07,"DOG","Maltese",NA,"U",FALSE,"Brooklyn","11215",FALSE
15,2015-02-07,"DOG","Pit Bull",5,"M",TRUE,"Brooklyn","11214",TRUE
16,2015-02-06,"DOG","Dachshund Smooth Coat",NA,"U",FALSE,"Brooklyn",NA,FALSE
17,2015-01-27,"DOG","Poodle, Standard",NA,"U",FALSE,"Brooklyn","11214",FALSE
18,2015-02-10,"DOG","Welsh Corgi, Pembroke",NA,"U",FALSE,"Brooklyn","11204",FALSE
19,2015-02-07,"DOG","Shiba Inu",NA,"M",FALSE,"Brooklyn","11206",FALSE
20,2015-02-07,"DOG","RAT TERRIER",5,"M",TRUE,"Brooklyn","11208",FALSE
21,2015-01-27,"DOG","American Pit Bull Terrier/Pit Bull",2,"M",FALSE,"Brooklyn","11228",TRUE
22,2015-02-11,"DOG","Staffordshire Bull Terrier",4,"M",FALSE,"Brooklyn","11235",FALSE
23,2015-02-11,"DOG","RAT TERRIER",13,"F",TRUE,"Brooklyn","11209",FALSE
24,2015-02-09,"DOG","American Pit Bull Terrier/Pit Bull",10,"F",TRUE,"Brooklyn","11232",TRUE
25,2015-02-12,"DOG","German Shepherd",4,"M",FALSE,"Brooklyn","11229",FALSE
26,2015-02-12,"DOG","Pit Bull",NA,"U",FALSE,"Brooklyn","11237",TRUE
27,2015-02-14,"DOG","Akita",NA,"M",FALSE,"Brooklyn","11237",FALSE
28,2015-02-15,"DOG","BULL DOG X",NA,"M",FALSE,"Brooklyn","11234",FALSE
29,2015-02-15,"DOG","Pit Bull",NA,"U",FALSE,"Brooklyn","11234",TRUE
30,2015-02-13,"DOG","American Pit Bull Terrier/Pit Bull",4,"M",TRUE,"Brooklyn","11221",TRUE
31,2015-02-17,"DOG","Chihuahua",NA,"U",FALSE,"Brooklyn","11218",FALSE
32,2015-02-15,"DOG","American Pit Bull Mix / Pit Bull Mix",1,"M",FALSE,"Brooklyn","11207",TRUE
33,2015-02-12,"DOG","Mastiff, Old English",NA,"U",FALSE,"Brooklyn","11231",FALSE
34,2015-02-18,"DOG","Yorkshire Terrier",3,"M",FALSE,"Brooklyn","11233",FALSE
35,2015-02-17,"DOG","American Pit Bull Terrier/Pit Bull",5,"M",FALSE,"Brooklyn","11207",TRUE
36,2015-02-19,"DOG","SPRINGER SPANIEL",7,"U",TRUE,"Brooklyn","11213",FALSE
37,2015-02-21,"DOG","Pit Bull",NA,"U",FALSE,"Brooklyn","11217",TRUE
38,2015-02-06,"DOG","Shiba Inu",3,"M",FALSE,"Brooklyn",NA,FALSE
39,2015-02-12,"DOG","Pit Bull",NA,"U",FALSE,"Brooklyn","11224",TRUE
40,2015-02-22,"DOG","Pit Bull",10,"M",TRUE,"Brooklyn","11235",TRUE
41,2015-02-24,"DOG","Pit Bull",1,"F",FALSE,"Brooklyn","11215",TRUE
42,2015-02-24,"DOG","Pit Bull",10,"F",TRUE,"Brooklyn","11210",TRUE
43,2015-02-24,"DOG","WESTIE",NA,"U",FALSE,"Brooklyn","11234",FALSE
44,2015-02-22,"DOG","Pit Bull",NA,"U",FALSE,"Brooklyn",NA,TRUE
45,2015-02-21,"DOG","Pit Bull",NA,"U",FALSE,"Brooklyn","11231",TRUE
46,2015-02-26,"DOG","Pit Bull",NA,"U",FALSE,"Brooklyn","11206",TRUE
47,2015-02-22,"DOG","FOX HOUND",3,"F",TRUE,"Brooklyn","11209",FALSE
48,2015-02-23,"DOG","Pit Bull",NA,"U",FALSE,"Brooklyn",NA,TRUE
49,2015-02-26,"DOG","Pit Bull",1,"M",FALSE,"Brooklyn","11226",TRUE
50,2015-02-28,"DOG","Weimaraner",1900,"M",TRUE,"Brooklyn","11230",FALSE
51,2015-02-26,"DOG","German Shepherd",NA,"U",FALSE,"Brooklyn","11220",FALSE
52,2015-02-01,"DOG","Rottweiler",NA,"U",FALSE,"Brooklyn","11215",FALSE
53,2015-03-01,"DOG","American Pit Bull Mix / Pit Bull Mix",6,"F",TRUE,"Brooklyn","11225",TRUE
54,2015-02-28,"DOG","American Pit Bull Mix / Pit Bull Mix",2,"M",FALSE,"Brooklyn","11228",TRUE
55,2015-02-10,"DOG","American Pit Bull Terrier/Pit Bull",NA,"U",FALSE,"Brooklyn","11221",TRUE
56,2015-03-04,"DOG","Jindo Dog,",NA,"M",TRUE,"Brooklyn","11215",FALSE
57,2015-03-06,"DOG","American Pit Bull Mix / Pit Bull Mix",10,"F",FALSE,"Brooklyn","11206",TRUE
58,2015-03-07,"DOG","Bull Dog, English",2,"M",TRUE,"Brooklyn","11201",FALSE
59,2015-02-27,"DOG","American Pit Bull Terrier/Pit Bull",3,"M",FALSE,"Brooklyn","11206",TRUE
60,2015-03-07,"DOG","BULLDOG/SHARPEI",11,"M",TRUE,"Brooklyn","11233",FALSE
61,2015-03-08,"DOG","Shih Tzu",4,"M",FALSE,"Brooklyn","11234",FALSE
62,2015-03-10,"DOG","COCKER/CORGI X",NA,"M",FALSE,"Brooklyn","11201",FALSE
63,2015-03-06,"DOG","Pit Bull",NA,"U",FALSE,"Brooklyn",NA,TRUE
64,2015-03-12,"DOG","Jack Russ",7,"M",FALSE,"Brooklyn","11208",FALSE
65,2015-03-12,"DOG","Shih Tzu",NA,"U",FALSE,"Brooklyn","11217",FALSE
66,2015-02-26,"DOG","Pit Bull",2,"M",FALSE,"Brooklyn","11216",TRUE
67,2015-03-13,"DOG","Pug",6,"M",TRUE,"Brooklyn","11231",FALSE
68,2015-03-15,"DOG","Yorkshire Terrier",4,"M",FALSE,"Brooklyn","11205",FALSE
69,2015-03-14,"DOG","Chow Chow",3,"M",FALSE,"Brooklyn","11234",FALSE
70,2015-03-15,"DOG","American Staffordshire Terrier",8,"M",TRUE,"Brooklyn","11230",FALSE
71,2015-03-14,"DOG","SHEPHERD MIX",5,"M",TRUE,"Brooklyn","11229",FALSE
72,2015-03-16,"DOG","Maltese",7,"M",TRUE,"Brooklyn","11221",FALSE
73,2015-03-18,"DOG","American Pit Bull Terrier/Pit Bull",5,"M",TRUE,"Brooklyn","11207",TRUE
74,2015-03-16,"DOG","Yorkshire Terrier",1,"M",FALSE,"Brooklyn","11221",FALSE
75,2015-03-14,"DOG","Cocker Spaniel",NA,"U",FALSE,"Brooklyn","11213",FALSE
76,2015-03-16,"DOG","American Pit Bull Mix / Pit Bull Mix",2,"M",TRUE,"Brooklyn","11234",TRUE
77,2015-03-16,"DOG","Pit Bull",NA,"F",TRUE,"Brooklyn","11223",TRUE
78,2015-03-17,"DOG","Collie, Border",NA,"U",FALSE,"Brooklyn",NA,FALSE
